test_id,test_category,test_type,temperature,humidity,vibration,pressure,risk_score,pass_fail,test_duration,test_date,standard
TEST_000029,humidity,humidity_resistance,-4.12,12.69,22.24,864.53,0.722,FAIL,202,2024-09-17 18:31:19.462987,MIL-STD-810 Method 507.7
TEST_000030,vibration,mechanical_vibration,45.43,47.19,4.0,1096.77,0.241,PASS,388,2025-07-31 18:31:19.463018,MIL-STD-810 Method 514.8
TEST_000031,vibration,shock,21.94,46.65,2.86,1081.63,0.062,PASS,326,2025-04-20 18:31:19.463055,IEC 60068-2-27
TEST_000032,vibration,shock,66.64,93.16,28.53,924.84,1.0,FAIL,87,2024-11-22 18:31:19.463086,IEC 60068-2-27
TEST_000033,humidity,humidity_resistance,-11.03,66.36,48.18,913.97,0.797,FAIL,348,2024-09-29 18:31:19.463117,MIL-STD-810 Method 507.7
TEST_000034,humidity,water_splash,9.25,33.63,44.48,811.41,1.0,FAIL,441,2025-04-23 18:31:19.463149,IEC 60529
TEST_000035,temperature,thermal_shock,11.47,20.87,24.27,1023.68,0.297,PASS,73,2025-01-19 18:31:19.463180,IEC 60068-2-14
TEST_000036,temperature,high_temp,-4.02,58.92,46.57,1148.29,1.0,FAIL,104,2024-10-26 18:31:19.463218,MIL-STD-810 Method 501.7
TEST_000037,temperature,thermal_shock,-14.44,24.61,42.35,1050.71,0.85,FAIL,225,2024-11-07 18:31:19.463251,IEC 60068-2-14
TEST_000038,temperature,thermal_shock,-10.28,41.23,8.56,1017.81,0.189,PASS,203,2024-09-23 18:31:19.463283,IEC 60068-2-14
TEST_000039,vibration,acoustic_vibration,29.67,89.24,23.57,1126.16,0.738,FAIL,63,2025-03-22 18:31:19.463314,MIL-STD-810 Method 515.8
TEST_000040,vibration,acoustic_vibration,-33.38,10.27,8.56,872.62,0.94,FAIL,375,2024-12-23 18:31:19.463351,MIL-STD-810 Method 515.8
TEST_000041,vibration,mechanical_vibration,5.38,32.54,33.08,958.02,0.413,PASS,47,2025-01-23 18:31:19.463384,MIL-STD-810 Method 514.8
TEST_000042,humidity,water_splash,-22.88,70.38,16.0,1128.11,0.716,FAIL,268,2025-07-18 18:31:19.463415,IEC 60529
TEST_000043,temperature,low_temp,37.84,70.14,39.59,1117.04,0.954,FAIL,397,2024-11-27 18:31:19.463463,MIL-STD-810 Method 502.7
TEST_000044,vibration,acoustic_vibration,60.64,38.53,21.23,1153.96,1.0,FAIL,388,2025-06-29 18:31:19.463494,MIL-STD-810 Method 515.8
TEST_000045,vibration,acoustic_vibration,-27.87,93.98,15.86,1097.13,0.908,FAIL,309,2025-04-28 18:31:19.463525,MIL-STD-810 Method 515.8
TEST_000046,humidity,humidity_resistance,-28.98,55.24,38.18,946.96,0.785,FAIL,144,2025-03-30 18:31:19.463555,MIL-STD-810 Method 507.7
TEST_000047,vibration,acoustic_vibration,-35.73,80.05,32.59,1019.14,1.0,FAIL,380,2024-09-27 18:31:19.463586,MIL-STD-810 Method 515.8
TEST_000048,humidity,humidity_resistance,38.91,17.83,11.45,1121.63,0.474,PASS,199,2025-01-31 18:31:19.463617,MIL-STD-810 Method 507.7
TEST_000049,humidity,humidity_resistance,10.05,80.18,10.04,1129.58,0.632,PASS,261,2025-06-20 18:31:19.463656,MIL-STD-810 Method 507.7
TEST_000050,humidity,condensation,31.91,21.21,2.05,908.04,0.163,PASS,389,2025-05-31 18:31:19.463687,ISO 16750-4
TEST_000051,vibration,mechanical_vibration,-17.58,29.88,3.35,888.97,0.411,PASS,115,2025-08-04 18:31:19.463719,MIL-STD-810 Method 514.8
TEST_000052,vibration,shock,-10.5,87.5,19.52,872.3,0.782,FAIL,154,2024-09-24 18:31:19.463750,IEC 60068-2-27
TEST_000053,humidity,water_splash,-36.17,56.45,12.78,949.63,0.798,FAIL,255,2025-07-13 18:31:19.463782,IEC 60529
TEST_000054,vibration,acoustic_vibration,4.6,40.87,18.32,830.82,0.492,PASS,88,2025-01-29 18:31:19.463814,MIL-STD-810 Method 515.8
TEST_000055,humidity,humidity_resistance,-35.14,10.64,20.65,816.06,1.0,FAIL,251,2024-08-22 18:31:19.463844,MIL-STD-810 Method 507.7
TEST_000056,temperature,thermal_shock,-21.09,87.49,40.87,1174.75,1.0,FAIL,128,2025-05-11 18:31:19.463875,IEC 60068-2-14
TEST_000057,humidity,humidity_resistance,47.31,64.26,5.15,917.71,0.276,PASS,250,2024-09-04 18:31:19.463906,MIL-STD-810 Method 507.7
TEST_000058,temperature,high_temp,59.11,12.59,7.11,842.62,0.76,FAIL,240,2024-08-23 18:31:19.463943,MIL-STD-810 Method 501.7
TEST_000059,vibration,acoustic_vibration,-12.91,87.61,9.4,1031.29,0.389,PASS,301,2025-02-04 18:31:19.463975,MIL-STD-810 Method 515.8
TEST_000060,temperature,thermal_shock,31.95,94.62,27.38,985.78,0.72,FAIL,268,2025-03-27 18:31:19.464007,IEC 60068-2-14
TEST_000061,humidity,humidity_resistance,55.19,68.74,16.63,972.02,0.482,PASS,70,2025-04-14 18:31:19.464039,MIL-STD-810 Method 507.7
TEST_000062,temperature,high_temp,6.88,91.92,16.07,1089.77,0.591,PASS,455,2025-03-23 18:31:19.464069,MIL-STD-810 Method 501.7
TEST_000063,temperature,low_temp,33.17,27.53,45.25,967.34,0.636,PASS,196,2024-09-02 18:31:19.464100,MIL-STD-810 Method 502.7
TEST_000064,temperature,low_temp,-26.96,57.68,10.81,1069.13,0.598,PASS,208,2025-06-23 18:31:19.464130,MIL-STD-810 Method 502.7
TEST_000065,vibration,shock,68.94,68.01,17.93,995.67,0.661,PASS,45,2024-08-28 18:31:19.464159,IEC 60068-2-27
TEST_000066,temperature,high_temp,45.75,77.52,27.06,1135.87,0.7,FAIL,35,2024-10-30 18:31:19.464191,MIL-STD-810 Method 501.7
TEST_000067,vibration,shock,30.17,57.75,49.86,911.24,0.629,PASS,161,2024-10-16 18:31:19.464226,IEC 60068-2-27
TEST_000068,humidity,condensation,54.81,91.25,39.47,1020.78,1.0,FAIL,381,2025-07-13 18:31:19.464258,ISO 16750-4
TEST_000069,vibration,acoustic_vibration,20.57,78.4,2.23,1144.83,0.18,PASS,316,2024-08-06 18:31:19.464288,MIL-STD-810 Method 515.8
TEST_000070,humidity,humidity_resistance,-5.11,53.21,27.86,811.47,0.695,PASS,87,2025-07-07 18:31:19.464319,MIL-STD-810 Method 507.7
TEST_000071,vibration,shock,-39.09,13.49,7.04,1063.55,0.789,FAIL,62,2024-11-22 18:31:19.464349,IEC 60068-2-27
TEST_000072,temperature,thermal_shock,27.95,83.45,1.01,1136.0,0.385,PASS,231,2024-10-07 18:31:19.464379,IEC 60068-2-14
TEST_000073,vibration,mechanical_vibration,43.72,62.91,13.19,1138.74,0.639,PASS,343,2025-06-19 18:31:19.464409,MIL-STD-810 Method 514.8
TEST_000074,temperature,thermal_shock,50.79,70.72,44.03,968.18,0.806,FAIL,79,2025-07-01 18:31:19.464444,IEC 60068-2-14
TEST_000075,temperature,low_temp,19.22,80.36,49.74,1198.18,1.0,FAIL,381,2024-11-04 18:31:19.464473,MIL-STD-810 Method 502.7
TEST_000076,vibration,shock,47.37,41.02,25.51,857.69,0.686,PASS,111,2024-11-01 18:31:19.464504,IEC 60068-2-27
TEST_000077,vibration,shock,-31.16,62.63,43.66,991.09,1.0,FAIL,322,2025-05-10 18:31:19.464541,IEC 60068-2-27
TEST_000078,temperature,low_temp,-39.09,35.12,1.53,874.24,0.865,FAIL,392,2024-10-30 18:31:19.464578,MIL-STD-810 Method 502.7
TEST_000079,vibration,mechanical_vibration,31.92,92.21,9.47,957.52,0.413,PASS,253,2025-03-02 18:31:19.464609,MIL-STD-810 Method 514.8
TEST_000080,temperature,high_temp,2.11,41.18,20.24,825.58,0.578,PASS,202,2025-03-08 18:31:19.464640,MIL-STD-810 Method 501.7
TEST_000081,vibration,acoustic_vibration,-0.74,69.54,25.12,1000.75,0.354,PASS,400,2025-02-14 18:31:19.464671,MIL-STD-810 Method 515.8
TEST_000082,temperature,thermal_shock,21.43,75.97,7.39,858.98,0.252,PASS,193,2024-08-29 18:31:19.464701,IEC 60068-2-14
TEST_000083,temperature,high_temp,5.84,88.06,18.54,968.43,0.388,PASS,311,2025-01-07 18:31:19.464731,MIL-STD-810 Method 501.7
TEST_000084,vibration,mechanical_vibration,50.7,67.75,37.51,972.62,0.687,PASS,264,2025-06-07 18:31:19.464762,MIL-STD-810 Method 514.8
TEST_000085,temperature,high_temp,14.55,59.56,17.01,974.28,0.246,PASS,333,2024-12-29 18:31:19.464791,MIL-STD-810 Method 501.7
TEST_000086,temperature,low_temp,-5.75,84.87,30.6,818.19,1.0,FAIL,321,2024-09-18 18:31:19.464826,MIL-STD-810 Method 502.7
TEST_000087,temperature,high_temp,48.24,49.68,13.82,819.45,0.664,PASS,187,2024-12-04 18:31:19.464858,MIL-STD-810 Method 501.7
TEST_000088,humidity,humidity_resistance,57.25,18.27,7.44,822.9,0.581,PASS,237,2024-12-13 18:31:19.464889,MIL-STD-810 Method 507.7
TEST_000089,vibration,mechanical_vibration,-10.36,37.24,27.21,889.56,0.711,FAIL,83,2025-02-15 18:31:19.464919,MIL-STD-810 Method 514.8
TEST_000090,temperature,thermal_shock,-36.34,82.19,17.55,868.95,1.0,FAIL,425,2025-04-03 18:31:19.464949,IEC 60068-2-14
TEST_000091,temperature,high_temp,-36.53,69.92,31.22,944.75,1.0,FAIL,297,2025-03-14 18:31:19.464979,MIL-STD-810 Method 501.7
TEST_000092,vibration,mechanical_vibration,-39.74,81.98,28.4,1154.66,1.0,FAIL,447,2025-01-12 18:31:19.465009,MIL-STD-810 Method 514.8
TEST_000093,temperature,low_temp,39.21,52.72,13.37,1197.0,0.624,PASS,118,2024-11-22 18:31:19.465039,MIL-STD-810 Method 502.7
TEST_000094,humidity,water_splash,68.3,73.31,18.54,1182.86,1.0,FAIL,272,2025-07-22 18:31:19.465070,IEC 60529
TEST_000095,humidity,condensation,-15.08,82.42,1.87,891.68,0.584,PASS,258,2025-05-02 18:31:19.465100,ISO 16750-4
TEST_000096,humidity,humidity_resistance,7.64,41.58,47.48,1172.9,1.0,FAIL,290,2025-07-28 18:31:19.465135,MIL-STD-810 Method 507.7
TEST_000097,vibration,shock,1.67,15.17,36.87,983.34,0.413,PASS,349,2025-05-13 18:31:19.465167,IEC 60068-2-27
TEST_000098,humidity,water_splash,-12.78,80.21,23.06,892.8,0.871,FAIL,98,2025-03-12 18:31:19.465197,IEC 60529
TEST_000099,temperature,low_temp,-22.76,43.85,36.43,1138.46,1.0,FAIL,139,2025-01-31 18:31:19.465232,MIL-STD-810 Method 502.7
TEST_000100,temperature,low_temp,-26.88,94.0,11.13,1084.16,0.914,FAIL,227,2025-06-18 18:31:19.465263,MIL-STD-810 Method 502.7
TEST_000101,humidity,condensation,-23.64,41.85,36.72,1068.05,0.79,FAIL,441,2025-03-12 18:31:19.465294,ISO 16750-4
TEST_000102,vibration,shock,20.24,64.46,17.77,1159.89,0.447,PASS,443,2024-10-07 18:31:19.465324,IEC 60068-2-27
TEST_000103,vibration,shock,-12.9,46.69,40.5,870.54,1.0,FAIL,222,2024-09-29 18:31:19.465355,IEC 60068-2-27
TEST_000104,vibration,mechanical_vibration,28.72,16.39,22.14,800.56,0.589,PASS,133,2024-09-02 18:31:19.465384,MIL-STD-810 Method 514.8
TEST_000105,vibration,acoustic_vibration,-3.84,57.67,15.77,1055.6,0.4,PASS,368,2024-11-15 18:31:19.465415,MIL-STD-810 Method 515.8
TEST_000106,humidity,humidity_resistance,-24.68,59.61,24.27,805.52,0.872,FAIL,210,2025-02-08 18:31:19.465454,MIL-STD-810 Method 507.7
TEST_000107,temperature,high_temp,53.58,31.51,29.21,1158.87,0.908,FAIL,147,2025-02-06 18:31:19.465485,MIL-STD-810 Method 501.7
TEST_000108,vibration,shock,-35.61,75.3,15.32,844.54,1.0,FAIL,298,2025-05-13 18:31:19.465516,IEC 60068-2-27
TEST_000109,humidity,condensation,-34.68,91.12,48.99,1179.75,1.0,FAIL,380,2024-08-22 18:31:19.465550,ISO 16750-4
TEST_000110,humidity,water_splash,-18.13,60.56,25.09,806.12,0.804,FAIL,86,2025-06-16 18:31:19.465582,IEC 60529
TEST_000111,temperature,high_temp,-37.79,73.39,37.31,956.77,1.0,FAIL,402,2025-01-29 18:31:19.465614,MIL-STD-810 Method 501.7
TEST_000112,vibration,mechanical_vibration,-11.62,26.86,11.04,874.64,0.614,PASS,79,2024-09-19 18:31:19.465645,MIL-STD-810 Method 514.8
TEST_000113,temperature,thermal_shock,29.31,51.3,44.5,902.97,0.562,PASS,301,2025-03-05 18:31:19.465676,IEC 60068-2-14
TEST_000114,temperature,low_temp,63.01,24.93,7.41,817.9,0.971,FAIL,74,2024-08-21 18:31:19.465706,MIL-STD-810 Method 502.7
TEST_000115,humidity,water_splash,7.91,41.24,9.19,1110.49,0.189,PASS,458,2025-04-24 18:31:19.465742,IEC 60529
TEST_000116,vibration,shock,17.53,18.3,36.1,875.97,0.794,FAIL,296,2024-08-23 18:31:19.465774,IEC 60068-2-27
TEST_000117,temperature,low_temp,-14.85,34.93,2.11,868.61,0.448,PASS,261,2025-07-07 18:31:19.465804,MIL-STD-810 Method 502.7
TEST_000118,vibration,acoustic_vibration,-27.21,93.13,17.89,1184.38,1.0,FAIL,286,2024-10-11 18:31:19.465835,MIL-STD-810 Method 515.8
TEST_000119,humidity,condensation,-19.79,64.21,14.29,1097.28,0.521,PASS,475,2025-05-17 18:31:19.465866,ISO 16750-4
TEST_000120,humidity,humidity_resistance,53.93,30.73,26.52,1169.78,0.889,FAIL,252,2024-12-20 18:31:19.465895,MIL-STD-810 Method 507.7
TEST_000121,vibration,shock,25.03,17.84,5.7,819.74,0.283,PASS,50,2025-05-04 18:31:19.465927,IEC 60068-2-27
TEST_000122,vibration,shock,32.84,54.61,10.11,836.29,0.63,PASS,164,2024-11-13 18:31:19.465957,IEC 60068-2-27
TEST_000123,temperature,low_temp,-13.75,55.01,41.18,876.53,1.0,FAIL,402,2024-12-02 18:31:19.465988,MIL-STD-810 Method 502.7
TEST_000124,temperature,high_temp,67.5,13.71,18.82,1111.83,1.0,FAIL,390,2024-09-07 18:31:19.466024,MIL-STD-810 Method 501.7
TEST_000125,humidity,water_splash,-34.05,84.3,2.97,1110.86,0.978,FAIL,30,2025-06-23 18:31:19.466055,IEC 60529
TEST_000126,vibration,shock,22.46,78.58,20.84,936.53,0.368,PASS,179,2025-02-02 18:31:19.466085,IEC 60068-2-27
TEST_000127,vibration,shock,61.4,24.53,36.51,1091.38,1.0,FAIL,82,2025-03-28 18:31:19.466116,IEC 60068-2-27
TEST_000128,temperature,thermal_shock,-4.95,90.6,27.19,1198.85,1.0,FAIL,312,2025-03-31 18:31:19.466146,IEC 60068-2-14
TEST_000129,humidity,humidity_resistance,57.76,82.23,48.84,906.85,1.0,FAIL,286,2025-04-21 18:31:19.466176,MIL-STD-810 Method 507.7
TEST_000130,vibration,shock,-7.34,33.1,21.99,906.64,0.53,PASS,84,2024-09-01 18:31:19.466207,IEC 60068-2-27
TEST_000131,temperature,high_temp,31.99,84.09,23.11,958.54,0.613,PASS,68,2024-10-15 18:31:19.466237,MIL-STD-810 Method 501.7
TEST_000132,humidity,water_splash,-25.91,36.29,49.47,978.37,0.785,FAIL,134,2024-11-10 18:31:19.466267,IEC 60529
TEST_000133,vibration,acoustic_vibration,-8.37,21.0,49.16,1071.77,0.685,PASS,67,2024-08-17 18:31:19.466297,MIL-STD-810 Method 515.8
TEST_000134,vibration,acoustic_vibration,-30.39,13.21,1.89,1178.35,1.0,FAIL,414,2025-01-20 18:31:19.466333,MIL-STD-810 Method 515.8
TEST_000135,humidity,water_splash,-24.58,66.71,2.96,1110.75,0.522,PASS,461,2024-12-16 18:31:19.466365,IEC 60529
TEST_000136,temperature,high_temp,61.5,27.08,25.03,900.51,0.814,FAIL,315,2025-04-21 18:31:19.466395,MIL-STD-810 Method 501.7
TEST_000137,humidity,humidity_resistance,62.98,25.98,21.72,1082.3,0.826,FAIL,296,2024-12-06 18:31:19.466439,MIL-STD-810 Method 507.7
TEST_000138,temperature,low_temp,29.9,23.77,2.09,805.17,0.304,PASS,369,2025-04-04 18:31:19.466470,MIL-STD-810 Method 502.7
TEST_000139,temperature,low_temp,-38.03,25.37,24.72,1168.3,1.0,FAIL,144,2024-09-03 18:31:19.466500,MIL-STD-810 Method 502.7
TEST_000140,humidity,condensation,39.78,82.32,41.23,1168.63,1.0,FAIL,94,2024-08-26 18:31:19.466531,ISO 16750-4
TEST_000141,temperature,thermal_shock,-17.56,23.87,14.44,1089.54,0.464,PASS,355,2025-05-28 18:31:19.466562,IEC 60068-2-14
TEST_000142,vibration,shock,61.53,88.91,46.89,1074.19,1.0,FAIL,271,2024-10-16 18:31:19.466593,IEC 60068-2-27
TEST_000143,vibration,mechanical_vibration,60.54,85.42,25.83,943.77,0.992,FAIL,312,2024-11-22 18:31:19.466628,MIL-STD-810 Method 514.8
TEST_000144,vibration,mechanical_vibration,12.58,87.03,5.05,1075.68,0.254,PASS,360,2025-06-01 18:31:19.466660,MIL-STD-810 Method 514.8
TEST_000145,humidity,condensation,-3.5,29.14,16.72,1116.57,0.475,PASS,326,2025-05-23 18:31:19.466690,ISO 16750-4
TEST_000146,vibration,acoustic_vibration,33.83,36.96,26.9,858.35,0.625,PASS,343,2024-09-03 18:31:19.466721,MIL-STD-810 Method 515.8
TEST_000147,temperature,low_temp,34.5,93.37,5.34,1145.4,0.78,FAIL,155,2025-01-26 18:31:19.466751,MIL-STD-810 Method 502.7
TEST_000148,humidity,humidity_resistance,-39.64,60.76,24.19,905.05,0.956,FAIL,468,2024-12-20 18:31:19.466782,MIL-STD-810 Method 507.7
TEST_000149,vibration,acoustic_vibration,-25.0,16.83,30.65,987.02,0.684,PASS,313,2025-05-16 18:31:19.466812,MIL-STD-810 Method 515.8
TEST_000150,temperature,thermal_shock,22.53,31.87,40.29,982.59,0.464,PASS,61,2025-01-16 18:31:19.466843,IEC 60068-2-14
TEST_000151,vibration,acoustic_vibration,56.83,63.89,18.14,860.86,0.696,PASS,133,2025-06-18 18:31:19.466873,MIL-STD-810 Method 515.8
TEST_000152,vibration,mechanical_vibration,-2.42,62.54,19.6,847.65,0.607,PASS,195,2024-08-15 18:31:19.466908,MIL-STD-810 Method 514.8
TEST_000153,humidity,humidity_resistance,60.67,36.44,32.66,1099.58,1.0,FAIL,423,2025-04-07 18:31:19.466940,MIL-STD-810 Method 507.7
TEST_000154,humidity,humidity_resistance,-4.93,77.46,19.48,1000.14,0.267,PASS,418,2025-01-05 18:31:19.466971,MIL-STD-810 Method 507.7
TEST_000155,humidity,water_splash,-18.97,33.27,34.33,1008.7,0.626,PASS,263,2025-01-31 18:31:19.467002,IEC 60529
TEST_000156,vibration,acoustic_vibration,-24.82,34.67,34.74,899.76,1.0,FAIL,405,2025-06-30 18:31:19.467032,MIL-STD-810 Method 515.8
TEST_000157,vibration,shock,-17.38,35.78,10.53,959.59,0.405,PASS,281,2025-01-15 18:31:19.467064,IEC 60068-2-27
TEST_000158,temperature,thermal_shock,53.01,79.52,39.01,1043.34,0.707,FAIL,425,2025-03-27 18:31:19.467095,IEC 60068-2-14
TEST_000159,vibration,acoustic_vibration,17.5,66.99,24.65,945.15,0.42,PASS,222,2024-11-05 18:31:19.467120,MIL-STD-810 Method 515.8
TEST_000160,temperature,thermal_shock,-7.78,28.32,21.39,1086.91,0.491,PASS,159,2024-09-20 18:31:19.467147,IEC 60068-2-14
TEST_000161,vibration,shock,51.97,40.9,33.34,801.52,1.0,FAIL,297,2025-04-01 18:31:19.467173,IEC 60068-2-27
TEST_000162,vibration,mechanical_vibration,28.46,44.53,29.6,866.23,0.509,PASS,358,2025-07-01 18:31:19.467204,MIL-STD-810 Method 514.8
TEST_000163,humidity,water_splash,20.68,74.21,14.18,1047.18,0.172,PASS,409,2025-06-28 18:31:19.467236,IEC 60529
TEST_000164,temperature,high_temp,20.37,16.85,24.53,1160.4,0.603,PASS,164,2024-10-29 18:31:19.467264,MIL-STD-810 Method 501.7
TEST_000165,humidity,humidity_resistance,4.26,27.95,38.55,1139.43,0.84,FAIL,479,2024-09-30 18:31:19.467292,MIL-STD-810 Method 507.7
TEST_000166,humidity,condensation,35.65,33.96,17.21,1143.03,0.518,PASS,39,2024-08-08 18:31:19.467319,ISO 16750-4
TEST_000167,vibration,shock,-34.93,23.5,0.23,1178.83,0.922,FAIL,75,2025-03-10 18:31:19.467346,IEC 60068-2-27
TEST_000168,temperature,thermal_shock,-39.34,10.49,5.18,1019.9,0.624,PASS,191,2025-05-29 18:31:19.467372,IEC 60068-2-14
TEST_000169,humidity,condensation,41.06,28.18,34.76,970.47,0.593,PASS,70,2024-09-30 18:31:19.467399,ISO 16750-4
TEST_000170,temperature,thermal_shock,-34.8,56.16,10.56,1055.52,0.705,FAIL,321,2024-09-14 18:31:19.467427,IEC 60068-2-14
TEST_000171,humidity,condensation,39.53,93.84,45.9,930.6,1.0,FAIL,443,2025-05-14 18:31:19.467463,ISO 16750-4
TEST_000172,humidity,water_splash,57.01,60.15,37.42,1172.0,1.0,FAIL,139,2024-12-02 18:31:19.467496,IEC 60529
TEST_000173,vibration,shock,-7.23,84.63,9.16,933.63,0.392,PASS,425,2025-01-10 18:31:19.467527,IEC 60068-2-27
TEST_000174,vibration,shock,6.14,51.73,48.99,1059.14,0.618,PASS,382,2024-09-15 18:31:19.467557,IEC 60068-2-27
TEST_000175,temperature,low_temp,43.86,35.31,31.86,960.92,0.611,PASS,161,2024-09-22 18:31:19.467585,MIL-STD-810 Method 502.7
TEST_000176,humidity,condensation,-21.79,22.36,19.98,1154.62,0.787,FAIL,441,2024-11-01 18:31:19.467612,ISO 16750-4
TEST_000177,humidity,condensation,61.37,94.93,31.93,1004.06,1.0,FAIL,371,2024-09-02 18:31:19.467639,ISO 16750-4
TEST_000178,vibration,mechanical_vibration,44.59,23.38,19.35,1089.78,0.435,PASS,342,2025-03-17 18:31:19.467665,MIL-STD-810 Method 514.8
TEST_000179,vibration,acoustic_vibration,-12.51,37.22,36.3,984.42,0.582,PASS,358,2024-12-14 18:31:19.467691,MIL-STD-810 Method 515.8
TEST_000180,humidity,humidity_resistance,-21.93,62.59,33.8,857.38,1.0,FAIL,242,2024-12-13 18:31:19.467718,MIL-STD-810 Method 507.7
TEST_000181,vibration,acoustic_vibration,16.56,23.38,34.55,823.17,0.93,FAIL,217,2025-07-05 18:31:19.467749,MIL-STD-810 Method 515.8
TEST_000182,humidity,condensation,39.34,75.08,33.37,838.76,1.0,FAIL,336,2024-09-01 18:31:19.467775,ISO 16750-4
TEST_000183,vibration,shock,63.51,38.0,32.12,923.46,1.0,FAIL,272,2025-01-21 18:31:19.467802,IEC 60068-2-27
TEST_000184,vibration,mechanical_vibration,-36.15,93.62,32.06,885.71,1.0,FAIL,341,2025-06-24 18:31:19.467829,MIL-STD-810 Method 514.8
TEST_000185,temperature,low_temp,39.06,81.33,6.62,1174.12,0.571,PASS,354,2025-03-23 18:31:19.467856,MIL-STD-810 Method 502.7
TEST_000186,humidity,water_splash,23.98,79.98,25.58,956.77,0.251,PASS,342,2025-07-29 18:31:19.467883,IEC 60529
TEST_000187,temperature,high_temp,59.6,27.25,22.58,1038.39,0.587,PASS,267,2025-01-27 18:31:19.467910,MIL-STD-810 Method 501.7
TEST_000188,humidity,water_splash,-8.56,20.81,26.94,980.12,0.394,PASS,479,2024-11-05 18:31:19.467936,IEC 60529
